Student ID,Name,CA1 marks
CS20923939,Christy Ray,45.5
CS20912971,Leona Park,59
CS21917371,Heather Watkins,49.5
CS21900755,Sylvia Nash,76.5
CS20914647,Iris Horton,51.5
CS21901431,Stephen Fuller,72.5
CS20925223,Jack Cook,36.5
CS21911027,Doug Johnston,81.5
CS20904297,Doris Olson,40
CS20923861,Randy Hunter,63
CS20923489,Cedric Graham,82.5
CS21903961,Elijah Higgins,58
CS21902285,Joy Ramirez,53.5
CS21900823,Rene Rodriquez,63
CS21914301,Jessie Kennedy,58
CS21901295,Keith Davidson,49.5
CS20922185,Pedro Lawson,55.5
CS20914951,Alexander Silva,61.5
CS20923311,Gladys Franklin,54.5
CS21904029,Ryan Newman,69
CS21900991,Maureen Tran,81
CS21901509,Diane Hodges,58
CS20923557,Clint Ingram,65
CS21901059,Beatrice Gill,56.5
CS21903107,May Potter,71
CS21903657,Billy Stanley,53
CS21903725,Manuel Sparks,56.5
CS21914165,Grant Campbell,59
CS21903893,Tracy Burgess,76
CS21901813,Salvador Fields,60
CS21914479,Charlene Malone,44.5
CS20924929,Damon Diaz,69
CS21914233,Cameron Hale,61
CS21903039,Christian Waters,54.5
CS21914851,Donnie Young,67.5
CS20915019,Ed Taylor,85.5
CS19804799,Ora Carlson,58
CS21902803,Felicia Underwood,49
CS21902667,Vivian Newton,57
CS21917753,Josefina Armstrong,35
CS21914783,Caleb Klein,54
CS21902421,Jeannette Clayton,50
CS20924097,Patrick Carroll,81.5
CS20924301,Santos Weber,82.5
CS21900137,Raquel Wilson,61
CS21901127,Phyllis Vargas,69.5
CS21902117,Jody Daniel,58
CS20922871,Gerardo Rogers,76
CS20914265,Judy George,73.5
CS20917549,Sharon Cooper,61.5
